amount,merchant_category,channel,device_type,ip_velocity,session_duration_s,failed_auth_count,is_international,hour_of_day,day_of_week,is_weekend,is_night,province_mismatch,amount_zscore,high_velocity_flag,short_session_flag,behavioral_risk_score,is_fraud
152.38,9,3,2,4,139,0,0,8,2,0,0,0,-0.4062,0,0,0.0,0
34.59,6,1,0,2,71,0,0,18,5,1,0,0,-0.206,0,0,0.0,0
27.63,6,3,2,1,179,0,0,11,0,0,0,0,-0.0539,0,0,0.0,0
111.37,10,3,2,3,181,0,0,5,3,0,1,0,-0.4238,0,0,0.15,0
22.84,1,4,3,1,271,0,0,9,0,0,0,0,-0.3116,0,0,0.0,0
181.39,11,4,2,3,232,0,0,13,0,0,0,0,0.3605,0,0,0.0,0
3.81,10,1,0,2,188,0,0,8,0,0,0,0,-0.412,0,0,0.0,0
122.12,9,1,0,2,137,0,0,18,2,0,0,0,-0.2448,0,0,0.0,0
87.9,2,4,3,3,101,0,0,14,3,0,0,0,0.268,0,0,0.0,0
44.8,13,1,2,2,246,0,0,11,0,0,0,0,-0.2147,0,0,0.0,0
125.51,5,3,3,2,104,0,0,7,2,0,0,1,-0.186,0,0,0.2,0
7.97,0,1,1,2,167,0,0,4,2,0,1,0,-1.7365,0,0,0.15,0
19.3,13,2,2,2,180,0,0,12,3,0,0,0,-1.0752,0,0,0.0,0
32.95,11,4,0,3,226,1,0,11,6,1,0,1,-1.4972,0,0,0.4,0
87.01,11,1,2,1,255,0,0,15,4,0,0,0,1.2317,0,0,0.0,0
143.17,9,1,2,1,141,0,0,9,6,1,0,0,-0.0887,0,0,0.0,0
7.55,4,3,1,2,192,0,0,8,4,0,0,0,-0.2454,0,0,0.0,0
16.76,9,2,2,4,186,0,0,15,5,1,0,0,-0.0794,0,0,0.0,0
29.71,11,0,0,2,111,0,0,14,6,1,0,0,-0.3189,0,0,0.0,0
120.98,9,2,0,2,234,0,0,12,3,0,0,0,-0.3912,0,0,0.0,0
80.24,2,1,0,1,148,0,0,7,2,0,0,1,0.1422,0,0,0.2,0
53.04,11,1,3,1,196,0,0,9,6,1,0,0,-0.7362,0,0,0.0,0
3.87,14,4,1,1,180,0,0,18,6,1,0,1,-1.6511,0,0,0.2,0
17.64,7,3,2,2,246,0,0,19,4,0,0,0,-0.7578,0,0,0.0,0
36.38,11,3,1,2,150,0,0,9,3,0,0,0,-0.3398,0,0,0.0,0
8.31,0,4,3,2,304,0,0,21,5,1,0,1,-0.3037,0,0,0.2,0
84.0,9,1,2,4,230,0,0,16,0,0,0,0,-0.0964,0,0,0.0,0
4.94,14,3,0,1,157,0,0,15,6,1,0,0,-0.8923,0,0,0.0,0
207.27,11,3,0,4,107,0,0,13,1,0,0,0,-0.5123,0,0,0.0,0
62.58,5,0,1,2,297,0,0,20,5,1,0,0,1.7435,0,0,0.0,0
87.98,4,3,2,1,104,1,0,15,4,0,0,0,-0.0264,0,0,0.2,0
142.57,12,3,2,2,313,0,0,13,5,1,0,0,-0.2249,0,0,0.0,0
10.07,4,0,1,1,226,0,0,16,2,0,0,0,-1.4246,0,0,0.0,0
17.3,5,1,2,1,158,0,0,14,1,0,0,0,-0.3474,0,0,0.0,0
116.42,9,3,1,2,205,0,0,17,2,0,0,0,-0.5645,0,0,0.0,0
1.65,9,4,3,10,2,4,0,23,1,0,1,1,-1.2026,1,1,0.9,1
8.55,4,3,0,1,255,0,0,19,2,0,0,1,-1.4011,0,0,0.2,0
162.45,5,1,2,2,193,0,0,10,4,0,0,0,-0.109,0,0,0.0,0
21.78,5,1,2,1,136,0,0,9,0,0,0,0,-0.81,0,0,0.0,0
66.99,9,1,2,2,295,0,0,20,3,0,0,0,-0.2203,0,0,0.0,0
56.56,5,4,3,1,211,0,0,9,2,0,0,1,-0.2064,0,0,0.2,0
4.1,4,2,0,3,262,0,0,11,6,1,0,0,-0.9725,0,0,0.0,0
14.89,9,2,2,2,164,0,0,6,5,1,0,0,-0.2549,0,0,0.0,0
33.35,5,4,0,2,163,0,0,9,6,1,0,0,-0.6639,0,0,0.0,0
82.19,5,2,2,2,186,0,0,12,3,0,0,1,-0.7139,0,0,0.2,0
56.14,9,4,2,3,183,0,0,14,0,0,0,0,0.4898,0,0,0.0,0
101.97,11,1,1,3,276,0,0,6,2,0,0,0,0.099,0,0,0.0,0
20.41,11,4,0,1,223,0,0,14,3,0,0,1,-0.3416,0,0,0.2,0
100.94,5,1,2,1,162,0,0,5,5,1,1,0,-0.3644,0,0,0.15,0
61.55,3,4,0,3,112,0,0,6,4,0,0,0,-0.1018,0,0,0.0,0
34.9,5,1,2,1,160,1,0,16,4,0,0,0,-0.2656,0,0,0.2,0
130.09,11,4,2,2,209,0,0,11,3,0,0,0,0.1274,0,0,0.0,0
171.69,11,1,0,2,155,0,0,12,2,0,0,0,1.2907,0,0,0.0,0
79.26,10,4,2,1,269,0,0,6,3,0,0,0,-0.1975,0,0,0.0,0
12.57,13,3,2,2,230,0,0,17,1,0,0,0,-0.5207,0,0,0.0,0
70.12,4,1,1,2,224,0,0,15,2,0,0,0,-0.3639,0,0,0.0,0
25.94,0,4,3,2,141,0,0,9,2,0,0,0,0.7047,0,0,0.0,0
25.62,4,1,1,2,77,0,0,14,1,0,0,0,0.885,0,0,0.0,0
84.4,9,2,1,2,305,0,0,21,0,0,0,0,-0.0329,0,0,0.0,0
57.55,5,1,0,1,267,0,0,17,0,0,0,0,0.3778,0,0,0.0,0
19.03,1,3,0,3,163,0,0,18,5,1,0,0,-0.9382,0,0,0.0,0
18.92,9,1,3,3,176,0,0,18,6,1,0,0,0.5785,0,0,0.0,0
205.19,5,3,1,3,162,0,0,19,4,0,0,0,-0.2022,0,0,0.0,0
18.47,9,0,2,3,213,0,0,10,6,1,0,0,-0.8832,0,0,0.0,0
44.24,11,1,0,1,236,0,0,16,0,0,0,0,-0.2449,0,0,0.0,0
7.64,4,0,2,1,168,0,0,15,2,0,0,1,-0.2849,0,0,0.2,0
52.0,1,3,0,2,97,0,0,19,5,1,0,1,-0.2584,0,0,0.2,0
41.86,14,4,1,1,120,0,0,10,4,0,0,0,-0.2493,0,0,0.0,0
100.09,11,4,1,1,172,0,0,17,4,0,0,0,1.0553,0,0,0.0,0
177.9,4,1,0,1,75,0,0,9,0,0,0,0,0.075,0,0,0.0,0
48.59,5,4,0,2,224,0,0,11,4,0,0,0,1.5001,0,0,0.0,0
45.88,11,3,0,3,237,0,0,15,4,0,0,0,-0.0809,0,0,0.0,0
81.25,4,3,1,1,225,0,0,19,3,0,0,0,0.8353,0,0,0.0,0
4.55,7,1,2,3,170,0,0,1,2,0,1,0,-0.2301,0,0,0.15,0
2.84,9,0,0,1,90,0,0,9,0,0,0,1,-0.4216,0,0,0.2,0
8.09,9,1,2,1,174,0,0,19,0,0,0,0,-0.3605,0,0,0.0,0
41.77,0,2,0,2,153,0,0,10,2,0,0,0,0.9942,0,0,0.0,0
15.34,9,4,1,2,68,0,0,14,1,0,0,0,-0.8227,0,0,0.0,0
111.12,1,1,0,1,183,0,0,11,3,0,0,0,2.8681,0,0,0.0,0
14.12,1,4,2,4,152,0,0,16,0,0,0,0,-0.2109,0,0,0.0,0
27.62,2,1,2,5,234,0,0,12,4,0,0,0,-0.7135,0,0,0.0,0
12.64,5,3,2,1,212,0,0,13,4,0,0,0,-0.6048,0,0,0.0,0
1312.96,0,1,3,4,31,3,1,23,1,0,1,1,5.4855,0,0,0.65,1
57.97,11,3,0,3,244,0,0,12,0,0,0,0,-0.175,0,0,0.0,0
462.15,11,1,0,2,249,0,0,7,2,0,0,0,1.141,0,0,0.0,0
36.28,9,3,0,1,45,0,0,10,0,0,0,0,-0.6005,0,0,0.0,0
119.02,10,1,3,2,262,0,0,14,4,0,0,0,-0.8086,0,0,0.0,0
40.32,9,1,1,2,180,0,0,16,0,0,0,0,-0.5781,0,0,0.0,0
9.82,4,3,2,1,259,0,0,13,6,1,0,0,-0.3451,0,0,0.0,0
29.21,5,0,0,2,82,0,0,18,1,0,0,0,-0.1962,0,0,0.0,0
4.24,5,3,0,2,164,0,0,9,0,0,0,0,-0.4465,0,0,0.0,0
13.61,1,2,0,1,162,0,0,11,2,0,0,1,-0.3425,0,0,0.2,0
274.16,11,4,0,2,260,0,0,15,4,0,0,0,-0.0674,0,0,0.0,0
17.31,9,0,2,2,197,0,0,20,4,0,0,1,1.1323,0,0,0.2,0
105.96,9,4,2,2,201,0,0,10,6,1,0,0,-0.6402,0,0,0.0,0
44.6,5,0,1,1,64,0,0,10,6,1,0,0,-0.35,0,0,0.0,0
72.73,5,0,1,1,180,0,0,13,0,0,0,0,0.0643,0,0,0.0,0
21.71,5,3,2,3,135,0,0,15,6,1,0,0,-0.7809,0,0,0.0,0
75.86,4,0,0,1,188,0,0,14,2,0,0,0,0.961,0,0,0.0,0
16.25,4,2,1,3,169,0,0,15,5,1,0,0,-0.264,0,0,0.0,0
3.63,3,0,1,3,147,0,0,15,5,1,0,0,-0.2503,0,0,0.0,0
153.32,2,1,1,3,45,0,0,15,1,0,0,0,1.0083,0,0,0.0,0
215.25,10,1,0,3,188,0,0,15,5,1,0,0,-0.2012,0,0,0.0,0
15.42,4,3,1,4,312,1,0,12,5,1,0,0,-0.4178,0,0,0.2,0
14.55,2,4,2,3,153,0,0,14,0,0,0,0,-0.6412,0,0,0.0,0
186.95,11,1,3,1,203,0,0,11,4,0,0,0,3.0915,0,0,0.0,0
1.05,9,4,3,28,2,2,0,5,2,0,1,1,-1.1877,1,1,0.9,1
49.29,13,1,1,5,205,0,0,9,6,1,0,1,-0.2014,0,0,0.2,0
29.68,5,2,0,2,162,0,0,12,4,0,0,0,-0.4335,0,0,0.0,0
34.92,11,3,2,3,311,0,0,13,3,0,0,0,-0.7804,0,0,0.0,0
36.28,5,3,2,1,269,0,0,14,6,1,0,0,-0.0074,0,0,0.0,0
36.18,0,4,2,2,231,0,0,14,1,0,0,0,-0.7133,0,0,0.0,0
10.72,6,1,2,2,201,0,0,0,1,0,1,0,-0.5411,0,0,0.15,0
61.28,9,0,1,2,97,0,0,14,5,1,0,0,1.1936,0,0,0.0,0
74.13,5,4,1,1,127,1,0,18,3,0,0,0,-0.3939,0,0,0.2,0
165.68,9,1,2,2,152,0,0,12,3,0,0,0,1.022,0,0,0.0,0
137.18,4,0,3,1,172,0,0,17,2,0,0,0,-0.3152,0,0,0.0,0
27.91,6,0,2,5,122,0,0,11,5,1,0,0,-0.2785,0,0,0.0,0
144.13,6,3,1,3,327,0,0,14,2,0,0,0,-0.4741,0,0,0.0,0
2994.71,1,4,3,3,8,2,1,5,5,1,1,1,5.5618,0,1,0.75,1
15.49,14,1,0,2,216,0,0,14,0,0,0,0,-0.2881,0,0,0.0,0
33.81,11,4,2,1,118,0,0,14,3,0,0,1,-0.2247,0,0,0.2,0
32.73,5,3,0,2,169,0,0,13,1,0,0,0,-1.0471,0,0,0.0,0
15.29,11,4,2,1,216,0,0,12,2,0,0,1,-0.2803,0,0,0.2,0
75.86,13,4,0,1,153,0,0,19,3,0,0,0,0.9919,0,0,0.0,0
30.03,5,0,0,3,164,0,0,15,5,1,0,0,-0.2525,0,0,0.0,0
308.65,11,4,0,3,72,0,0,7,6,1,0,0,-0.6032,0,0,0.0,0
12.98,5,1,2,1,210,0,0,2,6,1,1,0,-0.4209,0,0,0.15,0
43.8,12,1,2,1,82,0,0,14,4,0,0,1,-0.1967,0,0,0.2,0
14.88,3,4,2,3,269,0,0,4,0,0,1,1,0.3559,0,0,0.35,0
39.79,14,0,3,1,202,0,0,14,4,0,0,0,-1.1147,0,0,0.0,0
32.61,9,3,0,1,226,0,0,15,2,0,0,0,-0.1479,0,0,0.0,0
165.13,11,4,1,2,257,0,0,18,6,1,0,0,0.5298,0,0,0.0,0
93.74,2,3,0,2,115,0,0,12,5,1,0,0,-0.29,0,0,0.0,0
76.38,4,0,1,3,197,0,0,13,4,0,0,0,-0.4261,0,0,0.0,0
233.53,10,3,2,3,171,0,0,10,5,1,0,0,-0.4237,0,0,0.0,0
27.16,0,3,3,3,231,0,0,15,6,1,0,0,-0.2429,0,0,0.0,0
142.82,13,3,1,5,242,0,0,17,0,0,0,0,0.3764,0,0,0.0,0
24.94,5,4,1,1,154,0,0,11,1,0,0,1,-0.182,0,0,0.2,0
39.92,4,1,0,1,216,0,0,18,2,0,0,0,-0.7335,0,0,0.0,0
158.65,10,3,2,2,235,0,0,12,5,1,0,0,-0.5656,0,0,0.0,0
29.61,12,0,3,1,112,0,0,17,5,1,0,0,-0.0367,0,0,0.0,0
118.99,5,4,0,1,93,0,0,7,3,0,0,0,0.0044,0,0,0.0,0
29.65,5,0,0,1,77,0,0,15,3,0,0,0,-0.1391,0,0,0.0,0
117.07,11,4,2,2,180,0,0,13,2,0,0,0,-0.2975,0,0,0.0,0
7.7,9,1,3,2,130,0,0,21,5,1,0,0,-0.6997,0,0,0.0,0
445.56,14,1,2,2,209,0,0,17,5,1,0,0,-0.0089,0,0,0.0,0
33.73,10,3,2,1,171,0,0,13,6,1,0,0,-0.1336,0,0,0.0,0
37.08,11,1,0,2,150,0,0,7,5,1,0,0,-0.3571,0,0,0.0,0
99.4,12,1,2,1,127,0,0,1,2,0,1,0,-0.178,0,0,0.15,0
19.67,0,4,3,2,279,0,0,17,3,0,0,0,-0.2271,0,0,0.0,0
37.82,13,4,1,1,240,0,0,17,3,0,0,0,-0.9223,0,0,0.0,0
45.77,4,4,0,5,230,0,0,16,4,0,0,0,-0.1797,0,0,0.0,0
16.44,4,3,2,3,180,0,0,13,4,0,0,0,-1.1616,0,0,0.0,0
428.76,9,2,0,3,125,0,0,21,2,0,0,0,1.9184,0,0,0.0,0
14.63,10,1,2,1,208,0,0,4,2,0,1,1,-1.1907,0,0,0.35,0
16.03,5,4,1,4,208,0,0,8,4,0,0,0,-0.2168,0,0,0.0,0
152.24,11,1,0,2,233,0,0,12,0,0,0,0,-0.207,0,0,0.0,0
43.71,5,1,3,3,141,0,0,10,4,0,0,0,-0.3058,0,0,0.0,0
30.24,11,0,3,1,193,0,0,11,5,1,0,0,-0.2349,0,0,0.0,0
55.47,13,4,0,3,191,0,0,13,5,1,0,0,1.1883,0,0,0.0,0
61.31,4,3,0,3,250,0,0,13,3,0,0,0,0.6828,0,0,0.0,0
47.97,2,4,2,1,124,0,0,18,5,1,0,1,-0.5169,0,0,0.2,0
304.28,9,1,1,1,141,0,0,19,3,0,0,0,0.0112,0,0,0.0,0
53.11,11,3,0,2,103,0,0,10,2,0,0,0,0.058,0,0,0.0,0
30.81,5,4,1,3,155,0,0,22,4,0,1,0,0.512,0,0,0.15,0
21.06,11,3,0,2,181,0,0,13,4,0,0,0,-0.9714,0,0,0.0,0
17.25,14,3,2,2,214,1,0,15,4,0,0,0,-0.2651,0,0,0.2,0
26.91,7,3,2,2,170,0,0,20,1,0,0,0,-0.2555,0,0,0.0,0
50.67,9,1,3,1,154,0,0,13,0,0,0,1,-0.9043,0,0,0.2,0
16.3,6,4,1,2,251,0,0,13,2,0,0,1,-0.9947,0,0,0.2,0
23.27,5,0,2,2,342,0,0,14,1,0,0,0,-0.2694,0,0,0.0,0
273.56,4,4,0,2,260,0,0,1,5,1,1,1,0.3103,0,0,0.35,0
4.36,11,0,1,4,206,0,0,9,6,1,0,0,-1.4411,0,0,0.0,0
89.01,0,1,2,4,103,0,0,7,0,0,0,0,2.2627,0,0,0.0,0
32.84,5,0,1,2,124,0,0,20,5,1,0,0,-0.1895,0,0,0.0,0
363.21,6,0,2,1,149,0,0,7,1,0,0,0,0.1493,0,0,0.0,0
40.3,8,4,2,1,223,0,0,8,4,0,0,0,-0.3711,0,0,0.0,0
60.43,11,4,0,1,165,0,0,7,4,0,0,0,0.2035,0,0,0.0,0
23.62,9,4,2,1,103,0,0,19,1,0,0,0,0.1371,0,0,0.0,0
274.93,0,1,3,1,240,1,0,8,3,0,0,1,2.8394,0,0,0.4,0
56.21,14,1,3,1,132,0,0,12,6,1,0,0,-0.3026,0,0,0.0,0
7.07,4,4,1,3,276,0,0,12,4,0,0,0,-0.972,0,0,0.0,0
134.73,10,4,1,1,202,0,0,10,0,0,0,0,0.8227,0,0,0.0,0
224.28,14,1,0,4,195,0,0,21,4,0,0,0,2.7606,0,0,0.0,0
63.14,0,4,2,4,138,1,0,17,4,0,0,0,0.87,0,0,0.2,0
79.88,9,3,2,2,110,0,0,16,6,1,0,0,-0.0109,0,0,0.0,0
22.0,5,3,2,1,164,0,0,9,1,0,0,0,-0.1632,0,0,0.0,0
55.5,11,3,3,1,36,0,0,15,6,1,0,0,-0.2925,0,0,0.0,0
15.85,2,3,2,2,243,0,0,17,3,0,0,0,-0.4629,0,0,0.0,0
372.98,5,1,1,1,257,0,0,14,3,0,0,0,-0.4236,0,0,0.0,0
76.25,5,3,2,2,228,0,0,14,4,0,0,0,-0.816,0,0,0.0,0
99.89,5,1,0,1,215,0,0,19,1,0,0,0,-0.2042,0,0,0.0,0
30.99,11,2,0,2,166,0,0,10,4,0,0,0,-0.2992,0,0,0.0,0
69.3,12,1,2,3,142,0,0,23,0,0,1,0,-0.212,0,0,0.15,0
135.61,7,1,0,1,73,0,0,21,0,0,0,0,0.5709,0,0,0.0,0
231.55,13,1,3,2,261,0,0,3,1,0,1,0,-0.3089,0,0,0.15,0
682.55,5,4,0,1,162,0,0,16,0,0,0,0,0.22,0,0,0.0,0
3524.9,10,0,2,3,34,0,0,17,1,0,0,0,4.8676,0,0,0.0,1
32.92,2,2,0,2,121,0,0,14,0,0,0,0,-0.2221,0,0,0.0,0
69.3,4,0,0,1,211,0,0,18,6,1,0,0,2.7979,0,0,0.0,0
3733.4,10,1,2,2,66,0,0,9,6,1,0,0,3.9407,0,0,0.0,1
80.65,11,2,2,4,132,0,0,11,5,1,0,0,1.5762,0,0,0.0,0
1309.05,3,4,1,4,39,2,1,3,2,0,1,1,1.7934,0,0,0.65,1
34.97,9,1,1,1,207,0,0,15,0,0,0,0,0.3776,0,0,0.0,0
87.1,1,3,1,1,133,0,0,4,2,0,1,1,-0.1106,0,0,0.35,0
79.19,10,2,1,2,167,0,0,10,4,0,0,0,-0.4376,0,0,0.0,0
8.58,12,0,2,2,244,0,0,16,1,0,0,0,-1.7539,0,0,0.0,0
44.95,1,2,0,1,191,0,0,22,3,0,1,0,-0.0216,0,0,0.15,0
97.17,6,2,2,2,168,0,0,13,1,0,0,0,0.2007,0,0,0.0,0
3.17,5,0,1,1,237,0,0,17,4,0,0,0,-0.7478,0,0,0.0,0
4.03,5,1,1,1,118,0,0,10,6,1,0,1,-1.3662,0,0,0.2,0
16.37,1,2,0,3,228,0,0,20,5,1,0,0,-0.2384,0,0,0.0,0
39.67,14,4,0,1,183,0,0,21,3,0,0,0,-1.0306,0,0,0.0,0
71.21,14,4,1,2,260,0,0,18,1,0,0,0,-0.0755,0,0,0.0,0
30.36,9,3,0,1,143,0,0,17,4,0,0,0,-0.2081,0,0,0.0,0
20.69,5,4,2,2,157,0,0,6,2,0,0,0,-1.1364,0,0,0.0,0
122.07,1,0,0,3,224,0,0,10,0,0,0,1,-0.2775,0,0,0.2,0
142.62,10,3,0,3,141,0,0,11,1,0,0,0,2.1761,0,0,0.0,0
16.42,6,0,2,2,110,0,0,15,0,0,0,1,-0.917,0,0,0.2,0
39.34,1,4,1,1,138,0,0,17,3,0,0,0,-0.9358,0,0,0.0,0
28.33,1,4,3,1,123,0,0,10,3,0,0,0,-0.2459,0,0,0.0,0
42.62,11,0,0,3,245,0,0,17,3,0,0,0,-0.1769,0,0,0.0,0
25.82,5,1,2,2,227,0,0,7,2,0,0,0,-0.658,0,0,0.0,0
70.81,14,3,2,2,178,0,0,8,4,0,0,0,0.8271,0,0,0.0,0
105.7,10,3,3,2,228,0,0,7,0,0,0,0,-0.2692,0,0,0.0,0
193.09,7,0,0,2,239,0,0,21,3,0,0,0,0.9368,0,0,0.0,0
10.43,11,1,2,3,109,0,0,9,4,0,0,0,-0.11,0,0,0.0,0
79.94,9,3,0,1,171,0,0,18,0,0,0,0,1.7648,0,0,0.0,0
71.98,8,4,0,3,161,0,0,14,4,0,0,0,-0.0664,0,0,0.0,1
29.54,5,0,2,3,171,0,0,13,0,0,0,0,0.5477,0,0,0.0,0
48.48,4,1,0,1,242,0,0,9,4,0,0,0,0.9426,0,0,0.0,0
67.05,11,3,1,2,271,0,0,23,1,0,1,0,-1.1004,0,0,0.15,0
113.88,9,3,1,3,212,0,0,18,6,1,0,0,-0.1139,0,0,0.0,0
12.61,0,1,0,1,268,0,0,17,5,1,0,0,-0.1884,0,0,0.0,0
129.23,9,3,1,1,143,0,0,16,2,0,0,1,-0.0697,0,0,0.2,0
119.83,5,4,1,1,205,0,0,16,3,0,0,0,0.213,0,0,0.0,0
480.95,5,1,1,3,291,0,0,10,1,0,0,0,2.3763,0,0,0.0,0
