customer_id,province,account_age_days,avg_monthly_spend,avg_txn_amount,typical_peak_hour,preferred_channel,preferred_device,risk_score_initial
CUST_000163,QC,68,841.2,36.57,10.4,atm,ios,0.238
CUST_000164,NS,1398,980.4,61.28,17.4,mobile_app,ios,0.0759
CUST_000165,AB,307,1741.2,62.19,12.7,web,android,0.0496
CUST_000166,BC,165,1805.94,75.25,13.5,mobile_app,ios,0.2212
CUST_000167,QC,952,781.92,41.15,16.3,mobile_app,android,0.2338
CUST_000168,BC,1044,1324.96,57.61,9.7,web,ios,0.0501
CUST_000169,ON,900,1799.44,51.41,9.7,web,ios,0.032
CUST_000170,AB,727,561.94,24.43,12.4,web,android,0.2563
CUST_000171,ON,693,2126.6,81.79,11.0,pos_terminal,android,0.4945
CUST_000172,ON,860,2081.3,65.04,11.4,web,android,0.1702
CUST_000173,QC,107,829.07,55.27,14.8,pos_terminal,unknown,0.3195
CUST_000174,BC,739,1947.68,62.83,19.0,mobile_app,desktop_browser,0.2191
CUST_000175,BC,733,1653.88,87.05,12.4,mobile_app,ios,0.1064
CUST_000176,ON,1417,677.38,18.31,15.4,pos_terminal,android,0.178
CUST_000177,QC,1453,914.9,36.6,15.1,web,desktop_browser,0.221
CUST_000178,MB,1123,157.69,9.86,16.7,mobile_app,android,0.1604
CUST_000179,NL,194,314.18,9.24,12.4,mobile_app,android,0.3161
CUST_000180,ON,190,301.24,16.74,17.5,mobile_app,ios,0.1464
CUST_000181,QC,452,1545.42,85.86,16.1,web,ios,0.0659
CUST_000182,ON,617,2260.06,90.4,18.9,web,desktop_browser,0.1836
CUST_000183,ON,405,578.62,44.51,14.4,pos_terminal,ios,0.3761
CUST_000184,BC,1150,1828.09,70.31,16.6,pos_terminal,ios,0.2179
CUST_000185,QC,537,930.55,46.53,14.3,web,android,0.0398
CUST_000186,ON,415,940.62,49.51,20.1,atm,desktop_browser,0.0376
CUST_000187,AB,1019,725.91,19.62,12.3,mobile_app,desktop_browser,0.2584
CUST_000188,ON,1215,1101.74,34.43,15.1,atm,android,0.1133
CUST_000189,QC,1051,885.78,26.05,12.5,mobile_app,desktop_browser,0.1528
CUST_000190,ON,486,1451.9,72.59,14.8,web,desktop_browser,0.2319
CUST_000191,ON,575,560.09,14.36,12.2,web,android,0.5348
CUST_000192,ON,318,2966.33,148.32,12.6,pos_terminal,ios,0.2889
CUST_000193,BC,471,1668.05,52.13,13.3,mobile_app,ios,0.085
CUST_000194,MB,874,382.45,18.21,16.1,pos_terminal,desktop_browser,0.1318
CUST_000195,ON,625,441.01,19.17,14.4,web,ios,0.2864
CUST_000196,NL,1009,628.2,52.35,16.2,web,android,0.1433
CUST_000197,ON,965,1678.45,50.86,15.1,mobile_app,android,0.3501
CUST_000198,AB,1180,539.84,15.0,16.9,web,desktop_browser,0.556
CUST_000199,ON,1329,737.53,24.58,11.8,web,android,0.2566
CUST_000200,QC,534,1004.3,34.63,20.3,mobile_app,android,0.0796
CUST_000201,BC,1414,160.42,14.58,13.4,web,ios,0.0404
CUST_000202,ON,470,187.5,11.03,13.4,web,ios,0.0588
CUST_000203,ON,894,641.93,42.8,14.9,pos_terminal,android,0.191
CUST_000204,MB,848,949.19,67.8,16.5,web,ios,0.1208
CUST_000205,MB,1385,683.88,31.09,9.9,pos_terminal,ios,0.021
CUST_000206,ON,879,501.12,35.79,14.4,pos_terminal,desktop_browser,0.1078
CUST_000207,QC,988,569.7,21.91,15.5,web,desktop_browser,0.2286
CUST_000208,QC,696,1102.62,68.91,15.1,web,desktop_browser,0.2201
CUST_000209,SK,1015,2284.81,114.24,22.0,pos_terminal,ios,0.0924
CUST_000210,BC,1083,838.56,38.12,11.2,pos_terminal,desktop_browser,0.0777
CUST_000211,BC,708,2097.8,83.91,13.8,mobile_app,android,0.1315
CUST_000212,AB,155,201.8,16.82,12.3,mobile_app,desktop_browser,0.1432
CUST_000213,ON,1208,2769.68,213.05,10.7,atm,android,0.2438
CUST_000214,BC,1140,769.01,40.47,13.7,phone,android,0.2813
CUST_000215,QC,394,1427.77,57.11,21.9,pos_terminal,android,0.0427
CUST_000216,AB,168,667.35,29.02,10.7,mobile_app,android,0.1589
CUST_000217,ON,133,525.57,18.77,16.1,pos_terminal,android,0.2773
CUST_000218,ON,1193,1024.83,33.06,14.8,pos_terminal,android,0.2591
CUST_000219,ON,1357,5293.95,352.93,13.6,pos_terminal,android,0.0266
CUST_000220,ON,790,405.22,12.66,14.7,pos_terminal,desktop_browser,0.0058
CUST_000221,ON,869,430.59,26.91,17.5,atm,android,0.1282
CUST_000222,ON,935,1281.5,41.34,17.4,mobile_app,ios,0.371
CUST_000223,ON,940,634.5,26.44,17.6,pos_terminal,desktop_browser,0.0421
CUST_000224,QC,1437,1571.4,92.44,18.6,mobile_app,ios,0.0764
CUST_000225,ON,1119,4936.19,224.37,14.1,web,desktop_browser,0.391
CUST_000226,BC,661,595.75,37.23,9.2,atm,ios,0.0832
CUST_000227,ON,1334,406.91,13.56,12.8,atm,android,0.0311
CUST_000228,ON,1041,2954.71,109.43,16.4,mobile_app,android,0.0776
CUST_000229,ON,1494,1543.74,67.12,11.1,web,ios,0.3195
CUST_000230,NS,1210,1241.6,68.98,15.4,pos_terminal,ios,0.1496
CUST_000231,NS,653,2560.49,91.45,16.6,pos_terminal,ios,0.1313
CUST_000232,ON,958,1198.36,37.45,16.9,mobile_app,android,0.3481
CUST_000233,BC,1357,272.37,19.45,13.6,atm,android,0.0892
CUST_000234,BC,426,1816.47,113.53,12.6,pos_terminal,ios,0.2976
CUST_000235,QC,805,3119.72,97.49,9.3,pos_terminal,ios,0.1879
CUST_000236,BC,83,596.38,45.88,17.0,mobile_app,desktop_browser,0.3679
CUST_000237,ON,1235,442.72,34.06,11.4,pos_terminal,desktop_browser,0.2333
CUST_000238,QC,727,705.76,28.23,14.4,web,ios,0.4799
CUST_000239,ON,548,754.05,25.13,17.7,mobile_app,ios,0.091
CUST_000240,QC,1012,1142.2,63.46,17.8,web,ios,0.2055
CUST_000241,NS,1157,294.55,9.2,16.5,pos_terminal,unknown,0.5245
CUST_000242,QC,490,669.75,35.25,10.6,web,ios,0.1139
CUST_000243,QC,188,400.99,12.15,14.9,mobile_app,ios,0.4769
CUST_000244,BC,765,5835.01,216.11,17.1,pos_terminal,ios,0.1052
CUST_000245,BC,1146,3288.8,149.49,20.9,atm,android,0.0443
CUST_000246,AB,303,1271.5,60.55,9.2,mobile_app,android,0.201
CUST_000247,NB,877,688.89,62.63,11.5,pos_terminal,ios,0.4678
CUST_000248,ON,1097,2131.71,133.23,15.7,mobile_app,ios,0.1919
CUST_000249,ON,973,397.22,10.74,14.2,web,ios,0.0774
CUST_000250,ON,356,1438.27,43.58,23.0,mobile_app,desktop_browser,0.0481
CUST_000251,ON,990,1754.93,65.0,8.5,mobile_app,desktop_browser,0.5315
CUST_000252,QC,738,1125.59,32.16,10.7,web,android,0.2777
CUST_000253,MB,903,1259.76,39.37,18.2,web,ios,0.1076
CUST_000254,ON,736,298.86,12.99,14.0,pos_terminal,ios,0.3152
CUST_000255,ON,1301,2894.9,263.17,14.3,atm,ios,0.1719
CUST_000256,BC,1370,2178.12,145.21,11.8,atm,ios,0.0562
CUST_000257,MB,335,530.7,29.48,13.2,pos_terminal,ios,0.349
CUST_000258,BC,782,567.22,43.63,18.4,web,desktop_browser,0.0344
CUST_000259,AB,465,270.6,14.24,7.3,mobile_app,android,0.1916
CUST_000260,BC,1476,1687.57,51.14,12.9,atm,android,0.1574
CUST_000261,NB,1393,1884.24,49.59,12.9,atm,android,0.1066
CUST_000262,QC,893,1176.59,98.05,17.9,mobile_app,ios,0.1502
CUST_000263,ON,1221,1279.94,49.23,18.0,web,android,0.1404
CUST_000264,ON,1142,494.17,26.01,13.2,mobile_app,ios,0.1785
CUST_000265,SK,1044,2668.48,106.74,19.8,mobile_app,android,0.2258
CUST_000266,QC,546,2980.44,298.04,9.5,web,ios,0.0797
CUST_000267,NL,481,776.04,32.34,13.5,pos_terminal,android,0.2323
CUST_000268,ON,46,1072.95,56.47,13.2,web,unknown,0.053
CUST_000269,BC,807,579.57,48.3,14.1,pos_terminal,android,0.374
CUST_000270,BC,1161,998.94,34.45,11.8,mobile_app,android,0.2806
CUST_000271,AB,774,5213.14,347.54,12.3,mobile_app,ios,0.5441
CUST_000272,AB,313,345.29,15.7,18.3,mobile_app,desktop_browser,0.2591
CUST_000273,QC,205,3427.44,228.5,16.1,web,android,0.291
CUST_000274,BC,102,1351.15,37.53,14.9,phone,ios,0.3814
CUST_000275,ON,1489,2559.54,106.65,15.5,mobile_app,ios,0.1172
CUST_000276,ON,367,1892.48,94.62,18.5,mobile_app,desktop_browser,0.3532
CUST_000277,AB,632,1428.29,44.63,6.5,mobile_app,ios,0.1579
CUST_000278,QC,597,2097.03,116.5,13.2,web,desktop_browser,0.2775
CUST_000279,ON,92,1489.64,55.17,12.6,web,ios,0.3278
CUST_000280,ON,150,739.15,27.38,18.3,mobile_app,ios,0.2518
CUST_000281,ON,169,841.3,64.72,12.2,web,android,0.0917
CUST_000282,ON,651,1701.23,121.52,13.2,web,desktop_browser,0.5241
CUST_000283,QC,105,1531.71,58.91,16.5,pos_terminal,android,0.0655
CUST_000284,ON,1098,478.37,14.95,16.2,mobile_app,android,0.1179
CUST_000285,AB,1049,875.84,46.1,15.3,mobile_app,ios,0.1064
CUST_000286,AB,392,2861.41,86.71,11.6,web,android,0.382
CUST_000287,ON,959,133.14,4.29,14.0,atm,android,0.2714
CUST_000288,QC,334,485.96,13.88,14.1,pos_terminal,unknown,0.1703
CUST_000289,QC,445,2321.37,116.07,13.3,atm,android,0.2519
CUST_000290,BC,1252,831.88,26.83,13.2,mobile_app,desktop_browser,0.1251
CUST_000291,QC,321,879.57,25.87,16.8,web,unknown,0.5804
CUST_000292,ON,69,601.46,26.15,13.7,mobile_app,android,0.2093
CUST_000293,ON,934,1846.81,71.03,10.6,pos_terminal,desktop_browser,0.101
CUST_000294,QC,1367,1926.78,120.42,16.4,mobile_app,ios,0.0617
CUST_000295,AB,756,455.15,18.21,12.9,web,desktop_browser,0.1401
CUST_000296,ON,645,4074.19,162.97,12.0,mobile_app,ios,0.2946
CUST_000297,QC,400,1310.04,62.38,12.6,pos_terminal,desktop_browser,0.3877
CUST_000298,BC,185,351.57,15.98,17.3,mobile_app,android,0.2193
CUST_000299,ON,233,1867.71,64.4,16.1,mobile_app,android,0.2026
CUST_000300,BC,931,2402.04,96.08,15.1,mobile_app,android,0.0812
CUST_000301,QC,717,1988.43,52.33,15.8,atm,desktop_browser,0.1905
CUST_000302,ON,832,268.66,12.21,15.9,mobile_app,desktop_browser,0.0255
CUST_000303,BC,236,3190.47,99.7,15.9,mobile_app,desktop_browser,0.0617
CUST_000304,ON,103,3219.08,292.64,16.4,web,android,0.1084
CUST_000305,BC,809,727.83,24.26,20.7,atm,android,0.1457
CUST_000306,SK,500,2322.91,70.39,12.9,web,ios,0.1961
CUST_000307,QC,645,1998.65,199.87,15.8,web,android,0.128
CUST_000308,QC,1349,3802.17,181.06,16.6,phone,android,0.01
CUST_000309,ON,905,1493.77,42.68,13.4,mobile_app,ios,0.1022
CUST_000310,MB,1005,1430.18,89.39,16.4,atm,ios,0.0657
CUST_000311,QC,1260,1381.5,81.26,14.2,mobile_app,ios,0.2009
CUST_000312,ON,599,643.53,30.64,13.5,web,ios,0.0435
CUST_000313,ON,679,486.9,13.16,11.7,mobile_app,android,0.1242
CUST_000314,QC,1355,236.4,6.39,13.5,mobile_app,android,0.0687
CUST_000315,ON,764,557.07,17.41,13.9,pos_terminal,ios,0.1626
CUST_000316,ON,135,2706.95,112.79,16.0,web,desktop_browser,0.0805
CUST_000317,ON,473,76.72,2.74,9.6,atm,android,0.2396
CUST_000318,BC,217,1352.3,39.77,10.2,web,ios,0.0153
CUST_000319,BC,1465,390.25,10.01,14.9,web,desktop_browser,0.2278
CUST_000320,MB,416,629.93,33.15,16.4,mobile_app,android,0.2712
CUST_000321,QC,967,288.66,9.31,16.0,web,desktop_browser,0.5617
CUST_000322,ON,344,686.98,19.63,14.4,atm,android,0.2925
CUST_000323,QC,42,1581.53,58.58,19.7,mobile_app,desktop_browser,0.1846
CUST_000324,ON,594,199.45,11.08,18.6,mobile_app,android,0.1735
CUST_000325,QC,169,1380.03,125.46,12.1,mobile_app,android,0.0832
CUST_000326,QC,892,444.05,11.39,14.3,mobile_app,android,0.1185
CUST_000327,ON,1286,1872.3,133.74,12.7,web,ios,0.2859
CUST_000328,AB,1172,4282.37,129.77,16.6,web,ios,0.1555
CUST_000329,ON,112,217.46,8.36,16.6,mobile_app,ios,0.4385
CUST_000330,ON,929,402.98,19.19,12.6,mobile_app,ios,0.0952
CUST_000331,SK,1264,400.11,36.37,10.1,pos_terminal,desktop_browser,0.3625
CUST_000332,BC,158,4437.7,164.36,17.4,pos_terminal,desktop_browser,0.0681
CUST_000333,NS,1196,1344.86,35.39,8.5,mobile_app,android,0.357
CUST_000334,NS,120,3291.33,164.57,17.8,pos_terminal,android,0.101
CUST_000335,ON,221,2180.81,83.88,13.5,web,android,0.1386
CUST_000336,ON,137,636.79,17.21,17.0,mobile_app,android,0.2201
CUST_000337,AB,140,1572.66,49.15,9.5,mobile_app,android,0.208
CUST_000338,AB,558,1233.13,49.33,17.5,mobile_app,desktop_browser,0.1187
CUST_000339,BC,298,2139.62,125.86,15.5,mobile_app,desktop_browser,0.2216
CUST_000340,ON,419,1570.85,44.88,13.5,pos_terminal,unknown,0.2499
CUST_000341,QC,780,1256.86,39.28,18.7,mobile_app,ios,0.1342
CUST_000342,ON,1103,837.98,22.05,16.7,mobile_app,android,0.1931
CUST_000343,ON,1243,1291.44,99.34,12.6,mobile_app,android,0.2011
CUST_000344,NS,612,661.7,36.76,16.7,atm,android,0.0813
CUST_000345,MB,200,699.75,49.98,12.5,pos_terminal,ios,0.3816
CUST_000346,AB,1477,886.59,59.11,16.0,mobile_app,desktop_browser,0.1222
CUST_000347,QC,445,2422.53,121.13,18.5,pos_terminal,desktop_browser,0.1359
CUST_000348,NS,280,2174.26,181.19,7.0,mobile_app,android,0.0479
CUST_000349,QC,524,245.71,6.64,14.6,atm,ios,0.0554
CUST_000350,NB,1267,4122.96,343.58,15.9,mobile_app,ios,0.1302
CUST_000351,ON,512,1981.72,99.09,13.5,web,ios,0.1804
CUST_000352,AB,856,1064.16,48.37,13.6,web,desktop_browser,0.277
CUST_000353,ON,282,1150.96,52.32,15.3,mobile_app,ios,0.352
CUST_000354,BC,224,2177.35,94.67,5.3,pos_terminal,android,0.1709
CUST_000355,BC,1217,509.79,13.42,12.6,mobile_app,ios,0.1982
CUST_000356,ON,563,2302.9,115.15,10.0,mobile_app,ios,0.2185
CUST_000357,QC,945,1440.01,49.66,16.9,web,ios,0.2255
CUST_000358,BC,470,103.29,5.44,15.8,web,unknown,0.4783
CUST_000359,ON,1355,210.24,6.37,17.4,web,ios,0.1907
CUST_000360,AB,1439,558.29,26.59,16.0,web,ios,0.0844
CUST_000361,QC,450,1049.05,31.79,11.6,mobile_app,ios,0.2403
CUST_000362,ON,534,408.43,22.69,13.0,mobile_app,android,0.2609
CUST_000363,ON,154,1276.13,37.53,14.6,mobile_app,android,0.275
CUST_000364,QC,1473,844.17,27.23,15.3,pos_terminal,unknown,0.079
